* VELROT Run on 2026/ 6/24  1:50 Version 1.01-julia
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TR      
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for      126 components from   63 stations was       0.42 mm/yr, NRMS     1.19
* Estimates of Transformation parameters are: 
*    1 X-Offset     394.2995   216.0307 (mm/yr)
*    2 Y-Offset     529.3799   323.3458 (mm/yr)
*    3 Z-Offset    -713.4748   239.7109 (mm/yr)
*    4 X-Rot         17.6654     7.2834 (mas/yr)
*    5 Y-Rot        -24.1023     9.4503 (mas/yr)
*    6 Z-Rot         -9.3507     8.7431 (mas/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
   21.26300   38.68600   -11.69   -5.74  -11.69   -5.74    0.51    0.51  0.002     -6.30   -6.30    6.56 AO4C_GPS 
   21.31600   38.68900    -9.70   -5.82   -9.70   -5.82    0.53    0.53  0.001     -6.10   -6.10    6.42 AO4D_GPS 
   21.29100   38.69700    -7.70   -7.03   -7.70   -7.03    0.65    0.65  0.001     -6.34   -6.34    6.51 L2PE_GPS 
   21.29000   38.71000   -10.60   -6.43  -10.60   -6.43    0.61    0.71  0.001     -6.55   -6.55    6.54 LEPE_GPS*
   21.28100   38.71600   -10.40   -6.73  -10.40   -6.73    0.36    0.36  0.003     -6.69   -6.69    6.58 AO5C_GPS 
   21.69500   38.53300   -12.33   -9.40  -12.33   -9.40    0.25    0.25  0.002     -1.83   -1.83    5.08 FQ0E_GPS 
   21.52300   38.61400   -10.81   -7.85  -10.81   -7.85    0.41    0.41  0.001     -3.92   -3.92    5.69 PVOG_GPS*
   21.98000   38.52900   -11.57  -11.92  -11.57  -11.92    0.16    0.16  0.001     -0.42   -0.42    4.52 H000_GPS 
   21.92500   38.59400   -11.46  -10.44  -11.46  -10.44    0.31    0.40  0.001     -1.71   -1.71    4.80 ANOC_GPS*
   22.20100   38.52900   -12.11  -13.87  -12.11  -13.87    0.21    0.30 -0.000      0.62    0.62    4.25 LIDO_GPS*
   22.19700   38.60700   -12.90  -12.38  -12.90  -12.38    0.32    0.32 -0.000     -0.64   -0.64    4.51 JS2D_GPS 
   22.49900   38.61400   -11.55  -13.42  -11.55  -13.42    1.25    1.25 -0.000      0.65    0.65    4.44 2300_GPS 
   22.39700   38.64000   -10.33  -14.54  -10.33  -14.54    0.12    0.12 -0.006     -0.23   -0.23    4.52 BR3C_GPS 
   22.73200   38.51700    -9.11  -19.48   -9.11  -19.48    0.50    0.50 -0.001      3.27    3.27    4.29 015A_GPS 
   22.62300   38.65100   -12.36  -16.20  -12.36  -16.20    0.31    0.31 -0.002      0.64    0.64    4.62 2000_GPS 
   22.79000   38.52500   -12.62  -18.87  -12.62  -18.87    0.16    0.16 -0.007      3.41    3.41    4.38 2900_GPS 
   22.99900   38.59700   -14.25  -19.46  -14.25  -19.46    0.54    0.54 -0.001      3.22    3.22    4.92 2500_GPS 
   22.84500   38.61000   -11.81  -19.78  -11.81  -19.78    0.23    0.23 -0.005      2.31    2.31    4.72 ET29_GPS 
   22.86100   38.62400   -11.91  -18.58  -11.91  -18.58    0.15    0.14 -0.013      2.16    2.16    4.78 2400_GPS 
   22.99900   38.65300   -11.53  -19.97  -11.53  -19.97    0.21    0.31 -0.006      2.33    2.33    5.09 ATAL_GPS*
   22.93400   38.70100   -10.91  -19.18  -10.91  -19.18    0.23    0.23 -0.007      1.27    1.27    5.14 ET4A_GPS 
   23.20200   38.56600   -13.30  -21.35  -13.30  -21.35    0.13    0.13 -0.022      4.64    4.64    5.26 2800_GPS 
   23.04400   38.58400   -13.06  -20.66  -13.06  -20.66    0.15    0.15 -0.015      3.63    3.63    4.97 JR1B_GPS 
   23.22200   38.62000   -13.09  -21.25  -13.09  -21.25    0.13    0.13 -0.026      3.87    3.87    5.45 JR2D_GPS 
   23.06200   38.72300    -9.62  -19.37   -9.62  -19.37    0.20    0.20 -0.012      1.50    1.50    5.42 JR46_GPS 
   23.40300   38.50700   -14.66  -21.53  -14.66  -21.53    0.60    0.60 -0.001      6.48    6.48    5.62 JE02_GPS 
   23.45400   38.71900   -13.00  -20.66  -13.00  -20.66    0.15    0.15 -0.036      3.33    3.33    6.28 JE20_GPS 
   23.37400   38.74300   -11.28  -21.86  -11.28  -21.86    0.23    0.23 -0.015      2.59    2.59    6.15 JE29_GPS 
   23.73900   38.54900   -15.03  -22.44  -15.03  -22.44    0.23    0.23 -0.013      7.32    7.32    6.68 TF0F_GPS 
   23.53000   38.58100   -13.67  -24.24  -13.67  -24.24    0.20    0.20 -0.015      5.88    5.88    6.14 TF16_GPS 
   23.72100   38.59600   -14.51  -23.35  -14.51  -23.35    0.23    0.23 -0.014      6.49    6.49    6.72 TF1B_GPS 
   23.50400   38.61400   -14.25  -22.15  -14.25  -22.15    0.15    0.15 -0.029      5.23    5.23    6.14 TF20_GPS 
   23.71800   38.63200   -13.99  -23.06  -13.99  -23.06    0.18    0.18 -0.026      5.90    5.90    6.79 3700_GPS 
   23.58900   38.64000   -14.23  -21.47  -14.23  -21.47    0.14    0.14 -0.040      5.20    5.20    6.44 TF2A_GPM 
   23.57300   38.69000   -13.64  -21.06  -13.64  -21.06    0.24    0.24 -0.015      4.33    4.33    6.52 TF47_GPS 
   24.11300   38.57400   -13.82  -24.58  -13.82  -24.58    0.32    0.32 -0.010      8.58    8.58    7.92 025A_GPS 
   23.79900   38.52300   -15.16  -23.64  -15.16  -23.64    0.14    0.14 -0.036      8.00    8.00    6.81 RM0D_GPS 
   23.96300   38.52400   -15.50  -25.45  -15.50  -25.45    0.24    0.24 -0.015      8.72    8.72    7.34 RM0F_GPS 
   23.79800   38.53700   -14.75  -24.14  -14.75  -24.14    0.21    0.21 -0.016      7.77    7.77    6.84 RM11_GPS 
   23.81800   38.56300   -12.75  -23.55  -12.75  -23.55    0.22    0.22 -0.016      7.45    7.45    6.95 RM1C_GPS 
   24.06200   38.55700   -14.42  -26.57  -14.42  -26.57    0.24    0.24 -0.017      8.63    8.63    7.72 IS14_GPS 
   24.10300   38.59700   -14.11  -25.58  -14.11  -25.58    0.24    0.24 -0.020      8.17    8.17    7.93 IS1E_GPS 
   24.10500   38.63500   -13.69  -24.79  -13.69  -24.79    0.42    0.42 -0.007      7.57    7.57    8.01 KYMI_GPS*
   24.03100   38.65700   -13.26  -25.48  -13.26  -25.48    0.25    0.25 -0.018      6.89    6.89    7.81 IS30_GPS 
